	Rewards	Avg_Rewards	Epsilon	Steps
0	24.0	24.0	1.0	24
1	63.0	43.5	0.9976000000000003	63
2	63.0	50.0	0.991300000000001	63
3	13.0	40.75	0.9900000000000011	13
4	14.0	35.4	0.9886000000000013	14
5	18.0	32.5	0.9868000000000015	18
6	21.0	30.857142857142858	0.9847000000000017	21
7	9.0	28.125	0.9838000000000018	9
8	70.0	32.77777777777778	0.9768000000000026	70
9	21.0	31.6	0.9747000000000028	21
10	12.0	29.818181818181817	0.9735000000000029	12
11	13.0	28.416666666666668	0.9722000000000031	13
12	10.0	27.0	0.9712000000000032	10
13	11.0	25.857142857142858	0.9701000000000033	11
14	28.0	26.0	0.9673000000000036	28
15	40.0	26.875	0.963300000000004	40
16	14.0	26.11764705882353	0.9619000000000042	14
17	15.0	25.5	0.9604000000000044	15
18	11.0	24.736842105263158	0.9593000000000045	11
19	13.0	24.15	0.9580000000000046	13
20	11.0	23.523809523809526	0.9569000000000047	11
21	12.0	23.0	0.9557000000000049	12
22	14.0	22.608695652173914	0.954300000000005	14
23	31.0	22.958333333333332	0.9512000000000054	31
24	19.0	22.8	0.9493000000000056	19
25	18.0	22.615384615384617	0.9475000000000058	18
26	10.0	22.14814814814815	0.9465000000000059	10
27	20.0	22.071428571428573	0.9445000000000061	20
28	42.0	22.75862068965517	0.9403000000000066	42
29	27.0	22.9	0.9376000000000069	27
30	24.0	22.93548387096774	0.9352000000000071	24
31	50.0	23.78125	0.9302000000000077	50
32	15.0	23.515151515151516	0.9287000000000079	15
33	15.0	23.264705882352942	0.927200000000008	15
34	34.0	23.571428571428573	0.9238000000000084	34
35	16.0	23.36111111111111	0.9222000000000086	16
36	10.0	23.0	0.9212000000000087	10
37	46.0	23.605263157894736	0.9166000000000092	46
38	14.0	23.358974358974358	0.9152000000000093	14
39	12.0	23.075	0.9140000000000095	12
40	22.0	23.048780487804876	0.9118000000000097	22
41	12.0	22.785714285714285	0.9106000000000098	12
42	17.0	22.651162790697676	0.90890000000001	17
43	23.0	22.65909090909091	0.9066000000000103	23
44	20.0	22.6	0.9046000000000105	20
45	21.0	22.565217391304348	0.9025000000000107	21
46	20.0	22.51063829787234	0.900500000000011	20
47	17.0	22.395833333333332	0.8988000000000111	17
48	10.0	22.142857142857142	0.8978000000000113	10
49	54.0	22.78	0.8924000000000119	54
50	9.0	22.50980392156863	0.891500000000012	9
51	35.0	22.75	0.8880000000000123	35
52	22.0	22.735849056603772	0.8858000000000126	22
53	20.0	22.685185185185187	0.8838000000000128	20
54	37.0	22.945454545454545	0.8801000000000132	37
55	66.0	23.714285714285715	0.8735000000000139	66
56	69.0	24.50877192982456	0.8666000000000147	69
57	20.0	24.43103448275862	0.8646000000000149	20
58	18.0	24.322033898305083	0.8628000000000151	18
59	22.0	24.283333333333335	0.8606000000000154	22
60	20.0	24.21311475409836	0.8586000000000156	20
