	Rewards	Avg_Rewards	Epsilon	Steps
0	-204.89123902310163	-204.89123902310163	0.9960000000000004	103
1	-67.57049011269424	-136.23086456789792	0.9899000000000011	61
2	-119.98584111913482	-130.81585675164357	0.9836000000000018	63
3	-92.61573002507484	-121.26582507000137	0.9753000000000027	83
4	-89.05148537613812	-114.82295713122872	0.9688000000000034	65
5	-256.9209343728759	-138.50595333816992	0.9538000000000051	150
6	-276.0956306227933	-158.16162152168752	0.9434000000000062	104
7	-183.09773519500004	-161.2786357308516	0.936300000000007	71
8	-343.876535230888	-181.56729123085563	0.9256000000000082	107
9	-280.18159547874666	-191.42872165564475	0.9152000000000093	104
10	-313.56431848158866	-202.53195773073057	0.9058000000000104	94
11	-148.61454183490952	-198.03883973941217	0.8971000000000113	87
12	-417.21346978851403	-214.89842666626615	0.8875000000000124	96
13	-191.8181070602759	-213.24983240869543	0.8805000000000132	70
14	-374.1008638830287	-223.97323450698428	0.8711000000000142	94
15	-92.02232089062986	-215.72630240596214	0.864200000000015	69
16	-85.92244725612223	-208.09078151479508	0.8501000000000165	141
17	-168.54485544008358	-205.89378562175557	0.8394000000000177	107
18	-27.576224253829437	-196.50865081291735	0.8225000000000195	169
19	-60.0557302746692	-189.68600478600496	0.8117000000000207	108
20	-151.35077612055719	-187.86051770669792	0.8027000000000217	90
21	-82.10012835119858	-183.05322728144796	0.7931000000000228	96
22	-143.96231558973852	-181.35362242528666	0.7840000000000238	91
23	-74.46848303144462	-176.9000749505432	0.7775000000000245	65
24	-105.80856965984546	-174.0564147389153	0.7714000000000252	61
25	-84.1266703025491	-170.59757841443968	0.7622000000000262	92
26	-105.24229398028645	-168.17701232428587	0.7485000000000277	137
27	-292.0378696355353	-172.60061437111622	0.7354000000000291	131
28	-42.73882765953708	-168.12262172588936	0.7226000000000306	128
29	-138.86616743242655	-167.14740658277393	0.7118000000000317	108
30	-90.30401185954359	-164.6685873981536	0.7013000000000329	105
31	-103.06269954974086	-162.7434034028907	0.6892000000000342	121
32	-99.847349915626	-160.8374623881251	0.6747000000000358	145
33	-10.85447619610757	-156.42619808835988	0.6596000000000375	151
34	-88.9211924066098	-154.49748364030987	0.6498000000000386	98
35	-6.3974221705058625	-150.38359304392642	0.6395000000000397	103
36	-93.3254210587855	-148.84148028757127	0.6310000000000406	85
37	-63.06865309281881	-146.58430062455145	0.6172000000000422	138
38	-48.12474107089342	-144.05969653343203	0.6057000000000434	115
39	-43.177229132736215	-141.5376348484146	0.5906000000000451	151
40	-98.55122698534473	-140.4891858761446	0.5817000000000461	89
41	-25.98052280110535	-137.7627891362627	0.5682000000000476	135
42	-51.4408121128837	-135.75530129850972	0.5482000000000498	200
43	-11.85812436405412	-132.93945636818117	0.5286000000000519	196
44	1.0348163462095812	-129.96225030786138	0.4995000000000551	291
45	-90.89571087894291	-129.11297771158053	0.4836000000000569	159
46	-42.95287901255761	-127.27978412223963	0.473500000000058	101
47	-281.7329538553996	-130.49755849168048	0.4509000000000605	226
48	-124.64954986550885	-130.37821137686063	0.39830000000006627	526
49	-272.83646192185336	-133.2273763877605	0.33490000000007325	634
50	-261.381900446896	-135.7402101928416	0.2817000000000791	532
51	-107.4383339626621	-135.19594334226122	0.18170000000009012	1000
52	-111.45288512402959	-134.74796111172853	0.08170000000009513	1000
53	-249.65343069618962	-136.87584017810744	0.012500000000093797	692
54	-44.93498827010038	-135.20418832523458	0.01	1000
55	-102.69361041459231	-134.623642291116	0.01	1000
56	-50.3687707132339	-133.14548664939875	0.01	1000
57	-69.28539867788452	-132.04445064988988	0.01	598
58	-89.70645557165494	-131.32685751297066	0.01	1000
59	-31.536974087460752	-129.66369278921218	0.01	1000
60	-54.90501159834895	-128.43814063854228	0.01	652
61	-210.75154068051825	-129.7657761230903	0.01	184
62	-56.88158508503461	-128.6088842018513	0.01	1000
63	-31.630790904591027	-127.0936014940816	0.01	1000
64	-43.21951112816566	-125.8032308730675	0.01	1000
65	-45.39470056233315	-124.58491980775334	0.01	1000
66	-58.4087369679145	-123.59721558626322	0.01	1000
67	-56.508905427741865	-122.61062278981436	0.01	1000
